bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
32768,32.0,False,3465,1098510920,197719,195125,4515931289,3256431054
36264,35.414,False,3589,1098532302,208038,208302,4523305258,3266581632
40132,39.191,False,4063,1102036999,241598,219492,4519042989,3262065542
44414,43.373,False,3946,1102131780,316767,307152,4500980414,3255024326
49152,48.0,False,4145,1094656557,370351,315185,4488793240,3244099650
54396,53.121,False,4269,1098231530,8832621,813832,4524476899,3266398752
60199,58.788,False,4591,1097576855,9512554,4180611,4598699696,3255064034
65536,64.0,True,6431,1094186227,8131363,9013469,4614628290,3254416267
66621,65.06,True,4957,1096674623,32121506,29499400,4751685993,3239254261
73728,72.0,True,7350,1094043107,147465011,149046256,5764109822,3223543608
81593,79.681,False,7051,1087273304,251850207,252069580,6651197357,3229360612
90298,88.182,False,8202,1087237462,333008458,331000415,7368346027,3215178067
99931,97.589,False,9577,1081243422,409409627,410580282,8061031295,3215611092
110592,108.0,False,10384,1082305059,470514423,470653208,8586011330,3212010151
