host,family,record,status,mode,streams,seed,batch,cpu,unit,n,mean,stddev,median,q1,q3,p05,p95,outliers,flags,raw_sha256
ookay,smoke,machines/ookay/independent-load-v1/smoke/b72263ef8b47f50f/attempt-1788928612442010757/run.json,noisy,overhead,1,5924101,4096,2,TSC_ticks/interval,2048,82.6484375,60.62212427518968,78.0,76.0,78.0,76.0,104.0,304,block median drift exceeds 20 percent,6c46341250a718c051dbc6fa0c4533837e8786e640ec25751deaaed87a368606
ookay,smoke,machines/ookay/independent-load-v1/smoke/c13b49eaf75b5c13/attempt-1788928614561878947/run.json,passed,loop,1,5924101,4096,3,TSC_ticks/load,2048,0.2462921142578125,0.1098071937034314,0.2431640625,0.24267578125,0.24365234375,0.24169921875,0.244140625,47,,aabad256639bb398b3766bbd9a57e0ba5ea251c475e7efa6a56a5f682c140f27
upgrade,calibration,machines/upgrade/independent-load-v1/calibration/037f0b274cdbd2e9/attempt-1788928684019805579/run.json,passed,chase,4,5924101,4096,4,TSC_ticks/load,1000000,0.7149261047363281,0.20978432001399883,0.7099609375,0.708984375,0.7109375,0.7080078125,0.711669921875,10036,,32fa370fbfa40e7bdae6e6413445d39cf524e30c08e664898836587eb71ad6f4
upgrade,calibration,machines/upgrade/independent-load-v1/calibration/44b6019a19a40346/attempt-1788928671665056773/run.json,passed,loop,1,5924101,4096,4,TSC_ticks/load,1000000,0.19422183203125,0.111856355055286,0.19287109375,0.1923828125,0.193359375,0.191650390625,0.19384765625,8672,,3d4ffcbbc7a87932a65faa0b26fba518f7e944f86cd108d79779d75cc245ea20
upgrade,calibration,machines/upgrade/independent-load-v1/calibration/511efc2dfa06b8df/attempt-1788928675841227055/run.json,passed,chase,1,5924101,4096,4,TSC_ticks/load,1000000,2.855996139892578,0.6710240869309575,2.832275390625,2.828857421875,2.835693359375,2.826416015625,2.83837890625,31130,,4b57f89eb79c6c34571727ffcdaf67827c92e8c957fbc4bf200aed276938a22d
upgrade,calibration,machines/upgrade/independent-load-v1/calibration/d445a2735c6b0cfc/attempt-1788928668413322612/run.json,passed,overhead,1,5924101,4096,4,TSC_ticks/interval,1000000,63.688765,234.7291441971915,63.0,62.0,64.0,61.0,65.0,2441,,9239364b8026628cc36284d10956490ce4c1922e32e94572cd73b4102e85ff9f
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/097a1c22903250f2/attempt-1788928751035270861/run.json,passed,chase,4,5924103,4096,4,TSC_ticks/load,1000000,0.715156423828125,0.19279854183732106,0.7109375,0.7099609375,0.71142578125,0.708984375,0.71240234375,8986,,a716b2e0e9de1296f244eb84382038440c733c5575f95c20516103d9bc8d2d3f
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/2899815d0b6a65a1/attempt-1788928702549174213/run.json,passed,chase,4,5924101,4096,4,TSC_ticks/load,1000000,0.7148584665527343,0.2061974369629146,0.7099609375,0.708984375,0.7109375,0.7080078125,0.711669921875,11070,,f5a9cd540bfc0a96cde02ed3f19b6ca5f48aa4fbbd7b812682fbd7cf931b32fe
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/39e18bdd904491ce/attempt-1788928742852798945/run.json,passed,chase,1,5924103,4096,4,TSC_ticks/load,1000000,2.8540782900390624,0.5273634240624736,2.832275390625,2.828857421875,2.835693359375,2.826416015625,2.83837890625,30285,,d2cd7876b4e81cb3ab88406de0c13575220bdaf31bae1fcac7a7dcf231d77a1e
upgrade,comparison,machines/upgrade/independent-load-v1/comparison/4031ce0ff10893f0/attempt-1788928707667226605/run.json,passed,chase,1,5924101,4096,4,TSC_ticks/load,1000000,2.8508206821289064,0.40707521722679135,2.832275390625,2.828857421875,2.835693359375,2.826416015625,2.838134765625,10623,,01b625d76e079f753198763f53a689b62a451effd77804e62bbe6a03fa5f37b2
