host,unit,batch,qualified_pairs,planned_pairs,dependent_median,independent_median,ratio_median,ratio_min,ratio_max,cpus,full_attempts,noisy_full,failed_full,smoke_attempts,timer_fraction
sunbird,TSC_ticks/load,4096,6,6,4.0185546875,1.0205078125,3.937799043062201,3.934034416826004,3.937799043062201,"[5, 7]",18,1,0,4,0.020095693779904306
thunderbird,CNTVCT_ticks/load,4096,6,6,0.03369140625,0.008544921875,3.942857142857143,3.942857142857143,3.942857142857143,[1],28,7,0,4,0.02857142857142857
skylark,TSC_ticks/load,4096,6,6,2.9296875,0.75,3.90625,3.90625,3.90625,[3],16,0,0,4,0.03125
artemisia,TSC_ticks/load,4096,6,6,5.02685546875,1.26904296875,3.9611388995767602,3.9596153846153848,3.9615236629472874,"[28, 54]",26,3,0,4,0.01654482493266641
charnwood,TSC_ticks/load,4096,6,6,5.12841796875,1.29150390625,3.9708884688090738,3.9663897280966767,4.078149920255183,"[1, 2]",44,9,0,4,0.021243523316062177
crux,TSC_ticks/load,4096,6,6,2.6102294921875,0.65380859375,3.992530205721686,3.9854586129753913,3.9947702652222636,[2],16,0,0,4,0.021577380952380952
ookay,TSC_ticks/load,4096,6,6,3.49853515625,0.8779296875,3.9849833147942157,3.982768204558088,3.985539488320356,[3],16,0,0,4,0.021207177814029365
upgrade,TSC_ticks/load,4096,6,6,2.832275390625,0.710205078125,3.9879688452757414,3.98385989010989,3.9893397524071528,[4],16,0,0,4,0.021664374140302613
