bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
24576,24.0,False,318,327161793,8448,2448,676,947,1614675107,965585116
27112,26.477,False,277,327180487,21002,2597,663,916,1614540435,965611372
29911,29.21,False,331,327188694,36262,2261,643,906,1614978230,965630640
32998,32.225,False,282,327199087,64887,2497,1205,114812,1614963438,965741221
36403,35.55,False,286,327232475,126508,2327,1099,115040,1615987305,965732849
40160,39.219,False,280,327256103,226030,2396,1055,114950,1616663485,965767871
44305,43.267,False,279,327034860,690663,2066,782,6024,1621239123,965460456
48878,47.732,False,291,326123271,3919926,2405,645,1042,1655825121,961502057
49152,48.0,True,258,326492695,4227989,2375,619,940,1654414192,963254883
53248,52.0,True,283,320665391,28286763,2381,655,1005,1886199749,945348985
53922,52.658,False,282,320113087,31858880,2449,663,911,1928314783,944020225
59487,58.093,False,293,314701155,61648864,1460,585,850,2225990464,928072198
65627,64.089,False,281,311679493,84745292,2469,593,1244,2467357074,918743747
72400,70.703,False,310,309847181,101547537,2425,638,985,2649807581,913170234
79872,78.0,False,309,307908579,122605403,2322,606,800,2866950542,907397056
