regime,size_kib,mode,order,samples,batch_size,any_batch_failed,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions,time_enabled_ns,time_running_ns
l1_resident,34.0,chase,random,1000000,512,False,275,583217572,120143,2372,685,864,2896389532,1733697001,1457828681,1457828681
llc_sized,20480.0,chase,random,1000000,512,False,338275002,700189870,737789269,477674197,233324,1213645,42833160414,1950890510,21596623846,21596623846
larger_than_llc,131072.0,chase,random,1000000,512,False,515528538,1533901693,1062042689,559499292,369057869,388864415,125092244382,3729936611,63030749580,63030749580
