regime,size_kib,mode,order,samples,batch_size,any_batch_failed,DTLB-read-miss,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions,time_enabled_ns,time_running_ns
l1_resident,34.0,chase,random,1000000,512,True,3879,574898086,207728,241479,2440944481,1697059153,819210680,819210680
llc_sized,20480.0,chase,random,1000000,512,True,518475793,741429931,523663466,523991385,65068477325,1996279574,20736406800,20736406800
larger_than_llc,131072.0,chase,random,1000000,512,True,563471157,1764380052,583191673,583047086,157529753082,4026530501,52519835840,52519835840
