host,family,analysis_role,bytes,stride,offset,batch,order,seed,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,zero_samples,outliers,unit,statistic_unit,median_ns_estimated,p05_ns_estimated,p95_ns_estimated,nanosecond_conversion,selected_cpu,core,socket,node,qualification,flags,raw,record
artemisia,page_control,page-backing control,262144,8,0,256,random,5922026,1000000,14.483878484375,1.6665543699530152,14.453125,14.2890625,14.6171875,14.0,14.8359375,13.4375,670.9375,0,24991,TSC_ticks,TSC_ticks/access (batch average),7.226761750327355,7.0001930035603355,7.4181732777684575,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,24,24,0,0,verified_noisy,frequent involuntary context switches,machines/artemisia/page_control/page_control/928eb8c3854e41c6/attempt-1788847916645255534/samples.u64.gz,machines/artemisia/page_control/page_control/928eb8c3854e41c6/attempt-1788847916645255534/run.json
artemisia,page_control,page-backing control,4194304,8,0,512,random,5922026,1000000,45.17339888671875,5.855643821704012,44.87890625,44.0625,45.80078125,42.88671875,47.7109375,39.5078125,1501.4921875,0,38993,TSC_ticks,TSC_ticks/access (batch average),22.440043776819902,21.443923807616475,23.85609667421693,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,0,0,0,0,verified_noisy,frequent involuntary context switches; SMT sibling became busy,machines/artemisia/page_control/page_control/946ad6dfc55470b4/attempt-1788846393297558978/samples.u64.gz,machines/artemisia/page_control/page_control/946ad6dfc55470b4/attempt-1788846393297558978/run.json
artemisia,page_control,page-backing control,4194304,8,0,256,random,5922026,1000000,44.03574209375,3.3121360921800087,43.8671875,42.78125,44.96875,41.234375,46.75,36.8984375,1270.5859375,0,17285,TSC_ticks,TSC_ticks/access (batch average),21.934194053763637,20.617751774846745,23.37563975382397,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,10,10,0,0,verified_clean,,machines/artemisia/page_control/page_control/b5cd587b14d94779/attempt-1788847608479477555/samples.u64.gz,machines/artemisia/page_control/page_control/b5cd587b14d94779/complete.json
artemisia,page_control,page-backing control,65536,8,0,512,random,5922026,1000000,8.5262650703125,1.1178852898930876,8.47265625,8.3125,8.6640625,8.13671875,8.90625,7.61328125,599.02734375,0,7221,TSC_ticks,TSC_ticks/access (batch average),4.236438146287868,4.06846503398692,4.453240651699557,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,4,4,0,0,verified_noisy,frequent involuntary context switches,machines/artemisia/page_control/page_control/c393682c95f11b8d/attempt-1788846889761586727/samples.u64.gz,machines/artemisia/page_control/page_control/c393682c95f11b8d/attempt-1788846889761586727/run.json
artemisia,page_control,page-backing control,16384,8,0,256,random,5922026,1000000,5.2597751171875,0.5353478501464154,5.2421875,5.2421875,5.25,5.2265625,5.265625,5.203125,115.4140625,0,134376,TSC_ticks,TSC_ticks/access (batch average),2.621187441722607,2.6133746624626286,2.6329066106125736,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,24,24,0,0,verified_clean,,machines/artemisia/page_control/page_control/d20351e6eb99a2ad/attempt-1788847909718990989/samples.u64.gz,machines/artemisia/page_control/page_control/d20351e6eb99a2ad/complete.json
artemisia,page_control,page-backing control,67108864,8,0,512,random,5922026,1000000,371.94364534375,44.45978065082858,379.09765625,367.8828125,386.55078125,316.9609375,395.48046875,261.51953125,12847.94921875,0,141011,TSC_ticks,TSC_ticks/access (batch average),189.55387364470323,158.48468727424816,197.74549793826512,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,6,6,0,0,verified_noisy,frequent involuntary context switches,machines/artemisia/page_control/page_control/e78f1f36b5bdfcc9/attempt-1788846567510177817/samples.u64.gz,machines/artemisia/page_control/page_control/e78f1f36b5bdfcc9/attempt-1788846567510177817/run.json
artemisia,page_control,page-backing control,16777216,8,0,512,random,5922026,1000000,87.45235151171875,50.75490779622002,69.578125,60.40625,84.57421875,57.3359375,201.17597656249973,54.125,8333.14453125,0,137956,TSC_ticks,TSC_ticks/access (batch average),34.78997820898207,28.668723341086842,100.59063593306162,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,0,0,verified_noisy,frequent involuntary context switches; SMT sibling became busy; block median drift exceeds 20 percent,machines/artemisia/page_control/page_control/e952e84d554347d9/attempt-1788846975354506748/samples.u64.gz,machines/artemisia/page_control/page_control/e952e84d554347d9/attempt-1788846975354506748/run.json
artemisia,page_control,page-backing control,262144,8,0,512,random,5922026,1000000,14.3808792421875,9.24492108769267,14.34765625,14.1875,14.44140625,13.99609375,14.65234375,13.84765625,8253.02734375,0,11987,TSC_ticks,TSC_ticks/access (batch average),7.174008024492886,6.998222366392053,7.326355594846941,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,0,0,verified_clean,,machines/artemisia/page_control/page_control/ea97dc017b281ef5/attempt-1788846957642333549/samples.u64.gz,machines/artemisia/page_control/page_control/ea97dc017b281ef5/complete.json
artemisia,page_control,page-backing control,16777216,8,0,256,random,5922026,1000000,95.8953346953125,49.68760506956068,71.4375,65.1953125,109.6875,62.5234375,218.0703125,58.2890625,3016.921875,0,80064,TSC_ticks,TSC_ticks/access (batch average),35.719729340481976,31.262575887125685,109.0381457874971,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,0,0,0,0,verified_noisy,frequent involuntary context switches; SMT sibling became busy; block median drift exceeds 20 percent,machines/artemisia/page_control/page_control/eb4abf762c235942/attempt-1788847965839245955/samples.u64.gz,machines/artemisia/page_control/page_control/eb4abf762c235942/attempt-1788847965839245955/run.json
artemisia,page_control,page-backing control,1048576,8,0,512,random,5922026,1000000,15.76941535546875,13.114272463431186,15.703125,15.62890625,15.76953125,15.51171875,15.875,15.32421875,12405.74609375,0,22326,TSC_ticks,TSC_ticks/access (batch average),7.851776612467683,7.756070877639097,7.937716455987229,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,8,8,0,0,verified_noisy,frequent involuntary context switches,machines/artemisia/page_control/page_control/eb86a5e6e74cc28b/attempt-1788846509119347790/samples.u64.gz,machines/artemisia/page_control/page_control/eb86a5e6e74cc28b/attempt-1788846509119347790/run.json
