regime,size_kib,mode,order,samples,batch_size,any_batch_failed,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions,time_enabled_ns,time_running_ns
l1_resident,34.0,chase,random,1000000,512,False,15148,590017727,106710943,189263,28653,305203,3299345873,1753542594,1282137855,1282137855
llc_sized,20480.0,chase,random,1000000,512,False,438944961,698686398,901994442,631433880,472038314,1383616915,82998272388,1954489616,52919530172,52919530172
larger_than_llc,131072.0,chase,random,1000000,512,False,548049641,1533524531,1145129940,1014204547,556580812,1719844820,119122951412,3780593303,68860947271,68860947271
