bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
16384,16.0,False,293,657990107,154115,5301,2830,222554,2662926010,1958501873
18132,17.707,False,303,658451290,182384,7735,5003,231788,2657643274,1958021353
20066,19.596,False,282,657615747,206332,6016,3049,222395,2648314418,1950881849
22207,21.687,False,336,659071380,242946,5206,2341,210778,2659595518,1958335105
24576,24.0,False,285,658168705,363272,5278,2247,213394,2657446396,1956898856
27198,26.561,False,355,657222579,976838,14025,10507,210592,2666087977,1957001324
30099,29.394,False,349,656914010,1821357,8799,6305,205033,2730381716,1953065864
32768,32.0,True,335,650831366,11665368,8827,6709,198688,2720420094,1955280002
33310,32.529,True,350,651338704,22760192,10099,7942,204929,2802526483,1940117357
36864,36.0,True,348,631811759,88697608,11794,9390,203972,3239212123,1884855237
40797,39.841,False,344,621633201,140695122,211648,6477,268265,3632967447,1850616111
45149,44.091,False,364,599686287,185716318,36262,19193,208266,4001128627,1814857809
49966,48.795,False,354,609306388,226441970,24112,18342,211605,4247420618,1810084764
55296,54.0,False,375,601332945,263695787,14717,8735,199163,4544551899,1795792366
