regime,size_kib,mode,order,samples,batch_size,any_batch_failed,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions,time_enabled_ns,time_running_ns
l1_resident,34.0,chase,random,1000000,512,False,348,641848594,47678939,18197,2509,194743,2968871813,1907713967,666886581,666886581
llc_sized,20480.0,chase,random,1000000,512,False,365578389,699829621,800535209,562243200,247756877,723744503,94907889555,1961510141,21207868584,21207868584
larger_than_llc,131072.0,chase,random,1000000,512,False,533689662,1533948564,1115747387,905205704,521177275,1572995403,178727975310,3798584808,39767651031,39767651031
