bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
24576,24.0,False,327229380,13953,2018,978,127092,1616417967,UNAVAILABLE,965758959,819930834,819930834
27112,26.477,False,327256328,24901,3075,998,126996,1616658300,UNAVAILABLE,965823673,819878557,819878557
29911,29.21,False,327186094,45140,2801,823,124949,1616620322,UNAVAILABLE,965594775,820094768,820094768
32998,32.225,False,327204753,77350,2710,731,118294,1617120269,UNAVAILABLE,965631043,820280017,820280017
36403,35.55,False,327328950,135945,2675,725,123143,1617720533,UNAVAILABLE,965982349,820401706,820401706
40160,39.219,False,327336060,242724,2642,722,117626,1618895648,UNAVAILABLE,965979598,821154060,821154060
44305,43.267,False,327218002,629645,2673,804,127217,1622414088,UNAVAILABLE,965598363,823154902,823154902
48878,47.732,False,326203182,4569506,2673,758,127088,1660120753,UNAVAILABLE,962520166,841614632,841614632
49152,48.0,True,326527276,4435417,2644,730,127062,1660206592,UNAVAILABLE,963492015,842238239,842238239
53248,52.0,True,320819649,28624264,2725,726,122921,1897824912,UNAVAILABLE,946317800,961384310,961384310
53922,52.658,False,319999104,40269209,2964,794,121268,2030055748,UNAVAILABLE,943848136,1028369112,1028369112
59487,58.093,False,314599522,67761423,2864,768,125004,2304587571,UNAVAILABLE,927589982,1166116583,1166116583
65627,64.089,False,309497420,103392990,5023,1715,128501,2700703966,UNAVAILABLE,912221638,1367928027,1367928027
72400,70.703,False,308243038,119236400,4719,1847,127160,2869110169,UNAVAILABLE,908409442,1452557813,1452557813
79872,78.0,False,306692484,125833404,5420,2608,129650,2905793461,UNAVAILABLE,903702873,1469636742,1469636742
