host,group,mode,size_kib,unit,median_change_percent,percentile_bands_overlap,coarse_mean,refinement_mean,coarse_median,refinement_median,coarse_stddev,refinement_stddev,coarse_q1,refinement_q1,coarse_q3,refinement_q3,coarse_p5,refinement_p5,coarse_p95,refinement_p95,coarse_outliers,refinement_outliers,coarse_zeros,refinement_zeros
sunbird,middle,sequential,128.0,TSC ticks/access,0.048567265662935455,True,4.05095202368164,4.046643663085938,4.021484375,4.0234375,0.7462707441436233,0.4876519162088608,4.0205078125,4.021484375,4.0234375,4.02734375,4.01953125,4.0205078125,4.0263671875,4.029296875,38517,33336,0,0
sunbird,middle,sequential,256.0,TSC ticks/access,0.024260067928194573,True,4.05556168334961,4.063708561767578,4.025390625,4.0263671875,1.042864695267867,0.5320837630442926,4.0205078125,4.0234375,4.02734375,4.0302734375,4.0166015625,4.0205078125,4.060546875,4.078125,64924,106621,0,0
sunbird,middle,sequential,512.0,TSC ticks/access,0.0972053462940492,True,4.050134052001953,4.053736036132812,4.0185546875,4.0224609375,0.4525899849444137,0.47266665807594516,4.0166015625,4.0185546875,4.01953125,4.0263671875,4.0166015625,4.0166015625,4.0703125,4.07421875,146922,61767,0,0
sunbird,middle,sequential,1024.0,TSC ticks/access,0.07285089849442539,True,4.052557251464844,4.0599942685546875,4.021484375,4.0244140625,0.2568657736545788,0.4950711209011132,4.0185546875,4.021484375,4.0263671875,4.02734375,4.017578125,4.017578125,4.0751953125,4.078125,60418,114962,0,0
sunbird,large,random,16384.0,TSC ticks/access,0.05402728377830179,True,43.59943272070313,43.67340125195312,43.380859375,43.404296875,1.6399122452928074,2.1336445684351144,43.298828125,43.2939453125,43.5,43.529296875,43.177734375,43.1474609375,45.2158203125,45.357421875,104948,117498,0,0
sunbird,large,random,32768.0,TSC ticks/access,3.174188581719206,True,72.72613490429687,75.58446787304688,71.0380859375,73.29296875,7.401241153578889,12.128387037914795,68.80078125,71.00390625,74.587890625,76.4541015625,66.7626953125,68.7412109375,82.072265625,89.9326171875,42930,68651,0,0
sunbird,large,random,65536.0,TSC ticks/access,-0.3784985307375255,True,142.5824735703125,142.19277076757814,141.9052734375,141.3681640625,4.699982071131256,4.736471286934723,140.4658203125,140.0224609375,143.5546875,142.9814453125,138.5693359375,138.3525390625,148.4189453125,148.857421875,52805,60905,0,0
sunbird,large,sequential,16384.0,TSC ticks/access,0.0486026731470135,True,4.068337915771484,4.043262573242187,4.0185546875,4.0205078125,0.4829978948234642,0.4680446542343643,4.017578125,4.0185546875,4.01953125,4.0224609375,4.017578125,4.017578125,4.2421875,4.0693359375,148835,60359,0,0
sunbird,large,sequential,32768.0,TSC ticks/access,-0.0468164794007464,True,4.197283350585938,4.199885298828125,4.171875,4.169921875,0.3542524396912191,0.5735271272361704,4.11328125,4.1162109375,4.205078125,4.201171875,4.01953125,4.0185546875,4.3310546875,4.3330078125,48919,50452,0,0
sunbird,large,sequential,65536.0,TSC ticks/access,-0.16336056009335076,True,4.22938351953125,4.220315208007812,4.1845703125,4.177734375,1.2075125069091401,0.5956241277610478,4.134765625,4.1328125,4.208984375,4.2060546875,4.0283203125,4.0283203125,4.451171875,4.34765625,80813,54490,0,0
thunderbird,small,random,32.0,Arm counter ticks/access,0.0,True,0.033587541259765624,0.03358734106445312,0.03369140625,0.03369140625,0.0016140896371824626,0.001537251694561922,0.033447265625,0.033447265625,0.03369140625,0.03369140625,0.033447265625,0.033447265625,0.03369140625,0.03369140625,616,625,0,0
thunderbird,small,random,64.0,Arm counter ticks/access,0.0,True,0.03397378344726563,0.03394673608398437,0.033935546875,0.033935546875,0.0016038305695053924,0.001574884129820323,0.033935546875,0.033935546875,0.033935546875,0.033935546875,0.033935546875,0.03369140625,0.0341796875,0.0341796875,196186,173216,0,0
thunderbird,small,random,128.0,Arm counter ticks/access,0.0,True,0.073782125,0.07380582006835938,0.073486328125,0.073486328125,0.0024028797461011706,0.002317775753721819,0.0732421875,0.073486328125,0.074462890625,0.07470703125,0.0732421875,0.0732421875,0.07470703125,0.07470703125,1252,1327,0,0
