bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
131072,128.0,False,415,577868576,430953682,826355,372083,692988,5966758854,1735468644
145055,141.655,False,457,580495041,443431546,9335443,264250,2288701,6009337330,1726004891
160530,156.768,False,456,576782842,447621460,59245257,211353,946912,6775993779,1716342325
177655,173.491,False,477,570565473,453911363,14828462,236012,1050814,8727590866,1690888809
196608,192.0,False,493,571455624,462414523,61977705,437837,1068212,6941238824,1716924117
217583,212.483,False,548,573368405,472183990,70213266,399278,1442078,8279087289,1700489761
240795,235.151,False,559,569968580,477760562,97547941,434469,1026867,8080343819,1703010301
262144,256.0,True,564,566934699,479658325,112357155,462785,2094607,8987691899,1693492037
266483,260.237,True,541,569704375,484145920,92349997,432754,885865,9496596441,1690088378
294912,288.0,True,570,567033349,487071927,134003253,743561,1080530,10120111414,1682197831
326374,318.725,False,576,562770798,490217006,157710842,561785,934176,11917464223,1673549849
361192,352.727,False,609,561002350,489530182,197126029,520601,646312,13097947871,1670253413
399725,390.356,False,661,562175533,495603384,212857582,537374,785267,13282245322,1670204839
442368,432.0,False,704,560648140,497231404,237814005,278441,741480,14328299530,1667121413
