bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
131072,128.0,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,2323661595,0
145055,141.655,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,2343802436,0
160530,156.768,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,2362363450,0
177655,173.491,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,2564788945,0
196608,192.0,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,2658702776,0
217583,212.483,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,3530685256,0
240795,235.151,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,3266470712,0
262144,256.0,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,3945560125,0
266483,260.237,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,3301502699,0
294912,288.0,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,4106346138,0
326374,318.725,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,4747222207,0
361192,352.727,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,5336125888,0
399725,390.356,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,6016513227,0
442368,432.0,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,6280023080,0
