regime,size_kib,mode,samples,steps,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
l1_resident,34.0,random,1000000,4096,705142,11528,UNAVAILABLE,UNAVAILABLE,11528,1493804,UNAVAILABLE,2079354,1723320,1723320
llc_sized,20480.0,random,1000000,4096,699746,11166,UNAVAILABLE,UNAVAILABLE,11166,1329496,UNAVAILABLE,2079467,1542640,1542640
larger_than_llc,131072.0,random,1000000,4096,698062,10835,UNAVAILABLE,UNAVAILABLE,10835,1316030,UNAVAILABLE,2079530,1597120,1597120
