regime,size_kib,mode,order,samples,batch_size,any_batch_failed,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions,time_enabled_ns,time_running_ns
l1_resident,34.0,chase,random,1000000,512,False,334,630560552,47952763,65139,58511,326071,2934521250,1877936896,733532171,733532171
llc_sized,20480.0,chase,random,1000000,512,False,365404731,697834802,801403324,554040776,400157574,1207350976,122551750957,1957101982,30201062143,30201062143
larger_than_llc,131072.0,chase,random,1000000,512,False,533761199,1532195115,1113249474,905459254,548655879,1674407613,171021284882,3781651567,42003559956,42003559956
