bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
131072,128.0,False,419,582646951,434168877,5928156,2438,197614,6378276873,1726664952
145055,141.655,False,448,580022762,442072575,17010411,2802,200497,7112699597,1720578345
160530,156.768,False,464,576956115,448493346,16523667,3587,194988,6510376338,1731646692
177655,173.491,False,504,574139940,457005164,76270269,2285,200274,8085921516,1706705834
196608,192.0,False,524,572801268,462814330,62420377,3731,202853,9415981296,1693244732
217583,212.483,False,529,573525876,471549858,84436188,927,205980,8182112540,1706858551
240795,235.151,False,1444,575816900,482253259,61073795,3164,233500,8131703249,1707583144
262144,256.0,True,575,573000587,485851947,126785864,2859,273385,8777807437,1702745158
266483,260.237,True,552,571308123,485435178,96857624,2979,270221,9315590363,1696575821
294912,288.0,True,589,570725025,490511005,124261498,4525,275109,10278782371,1689359410
326374,318.725,False,571,567685388,493756593,136032937,5199,273059,11589468087,1680021302
361192,352.727,False,642,564600810,491790010,183704710,7257,276916,12283910853,1677188466
399725,390.356,False,651,562689022,495772397,236903918,4075,288432,13608795789,1671475835
442368,432.0,False,675,561006977,497219163,239136119,4888,274400,15280670908,1665768462
