hostname,cpu_model,regime,size_kib,mode,event,raw_value,per_access
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,l1_resident,34.0,chase,DTLB-read-miss,2216,4.328125e-06
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,l1_resident,34.0,chase,L1D-read-access,634828415,1.239899248046875
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,l1_resident,34.0,chase,L1D-read-miss,61521635,0.120159443359375
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,l1_resident,34.0,chase,cache-misses,14967,2.9232421875e-05
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,l1_resident,34.0,chase,cycles,2933511799,5.729515232421875
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,l1_resident,34.0,chase,instructions,1827297946,3.56894130078125
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,llc_sized,20480.0,chase,DTLB-read-miss,315512026,0.61623442578125
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,llc_sized,20480.0,chase,L1D-read-access,1080888343,2.111110044921875
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,llc_sized,20480.0,chase,L1D-read-miss,537824340,1.0504381640625
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,llc_sized,20480.0,chase,cache-misses,527301869,1.029886462890625
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,llc_sized,20480.0,chase,cycles,105187079692,205.4435150234375
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,llc_sized,20480.0,chase,instructions,1957453375,3.823151123046875
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,larger_than_llc,131072.0,chase,DTLB-read-miss,529768076,1.0347032734375
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,larger_than_llc,131072.0,chase,L1D-read-access,2360125631,4.609620373046875
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,larger_than_llc,131072.0,chase,L1D-read-miss,595016566,1.16214173046875
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,larger_than_llc,131072.0,chase,cache-misses,801480717,1.565392025390625
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,larger_than_llc,131072.0,chase,cycles,217084913594,423.9939718632813
skylark.ece.ncsu.edu,model name	: AMD EPYC 7532 32-Core Processor,larger_than_llc,131072.0,chase,instructions,3787385023,7.397236373046875
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,l1_resident,34.0,chase,DTLB-read-miss,275,5.37109375e-07
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,l1_resident,34.0,chase,L1D-read-access,583217572,1.1390968203125
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,l1_resident,34.0,chase,L1D-read-miss,120143,0.000234654296875
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,l1_resident,34.0,chase,LL-read-access,2372,4.6328125e-06
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,l1_resident,34.0,chase,LL-read-miss,685,1.337890625e-06
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,l1_resident,34.0,chase,cache-misses,864,1.6875e-06
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,l1_resident,34.0,chase,cycles,2896389532,5.6570108046875
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,l1_resident,34.0,chase,instructions,1733697001,3.386126955078125
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,llc_sized,20480.0,chase,DTLB-read-miss,338275002,0.66069336328125
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,llc_sized,20480.0,chase,L1D-read-access,700189870,1.36755833984375
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,llc_sized,20480.0,chase,L1D-read-miss,737789269,1.440994666015625
artemisia.ece.ncsu.edu,model name	: Intel(R) Xeon(R) Gold 5420+,llc_sized,20480.0,chase,LL-read-access,477674197,0.932957416015625
