bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
16384,16.0,False,6382,606250431,1499999,431984,923,266015,2501397220,1803005504
18132,17.707,False,7310,605673581,3215199,599687,846,269801,2516845380,1801879887
20066,19.596,False,7339,605223685,5293835,703006,984,266944,2532530805,1800236300
22207,21.687,False,9047,604561208,8961928,681214,1440,269310,2558660712,1798434676
24576,24.0,False,8557,603556436,14413684,774582,1300,264742,2597330810,1795421088
27198,26.561,False,10636,601495913,27861377,591591,4568,268952,2692176982,1789024619
30099,29.394,False,12209,597578666,50657587,439341,6572,285575,2864929516,1776752331
32768,32.0,True,13154,593504189,80659326,136578,32367,289759,3077785516,1765419248
33310,32.529,True,16203,592233314,87889101,409900,14897,276494,3139019117,1761780576
36864,36.0,True,17303,585652208,139700435,176208,46642,311242,3544246862,1742608818
40797,39.841,False,24616,582039770,179096738,1668324,33348,308238,3835314786,1730502378
45149,44.091,False,23913,578577237,219729997,392979,35220,333194,4159784998,1720895645
49966,48.795,False,33044,576160282,253655083,3546711,24051,312950,4410820226,1713306533
55296,54.0,False,34953,572877704,286089216,1424914,61662,316257,4670507529,1706693374
