bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
16384,16.0,False,415,597941827,243162,3961,606,3610,2409127352,1776931599
18132,17.707,False,404,596907011,274477,4372,287,4848,2404918483,1773424859
20066,19.596,False,389,597957142,310302,4854,289,2881,2410028350,1776904137
22207,21.687,False,399,597750794,361369,4207,296,5015,2410339630,1776864142
24576,24.0,False,430,597026041,421950,5505,234,2873,2406205792,1773615693
27198,26.561,False,418,596900679,768526,4451,655,4718,2408515302,1773223757
30099,29.394,False,413,596390169,9616041,4304,370,3914,2484351502,1771062907
32768,32.0,True,387,604733737,10429815,3858,311,2573,2478055611,1771305265
33310,32.529,True,413,602546503,23743095,3541,309,2726,2572896082,1765694539
36864,36.0,True,397,586131394,83890897,3965,463,2411,3002247932,1742533727
40797,39.841,False,411,579835705,134863155,3957,381,3427,3398380467,1725344664
45149,44.091,False,400,576364450,177763245,4352,1038,5491,3744004615,1711970126
49966,48.795,False,388,578609143,218176861,4089,536,6592,4030301861,1704134776
55296,54.0,False,419,572050284,252287441,4617,1319,9337,4324356382,1699817867
