regime,size_kib,mode,order,samples,batch_size,any_batch_failed,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions,time_enabled_ns,time_running_ns
l1_resident,34.0,chase,random,1000000,512,False,334,641583480,51448954,16137,13687,193852,3008020240,1913021951,651226894,651226894
llc_sized,20480.0,chase,random,1000000,512,False,364883258,699549551,799400873,567878780,370489946,1123580911,131319991152,1956827522,28859152309,28859152309
larger_than_llc,131072.0,chase,random,1000000,512,False,533403781,1534268327,1114662415,905571940,540650506,1654878749,191050671204,3781564686,41935141376,41935141376
