bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
32768,32.0,False,1139478915,171943,UNAVAILABLE,UNAVAILABLE,171943,4669806697,UNAVAILABLE,3378911031,1561119240,1561119240
36264,35.414,False,1139494578,180066,UNAVAILABLE,UNAVAILABLE,180066,4665194884,UNAVAILABLE,3379048117,1559071360,1559071360
40132,39.191,False,1139528510,267964,UNAVAILABLE,UNAVAILABLE,267964,4667580160,UNAVAILABLE,3379005842,1560919320,1560919320
44414,43.373,False,1139551847,244612,UNAVAILABLE,UNAVAILABLE,244612,4669776918,UNAVAILABLE,3379247270,1560864800,1560864800
49152,48.0,False,1139470195,262617,UNAVAILABLE,UNAVAILABLE,262617,4663771605,UNAVAILABLE,3378919943,1558798120,1558798120
54396,53.121,False,1139319000,837686,UNAVAILABLE,UNAVAILABLE,837686,4677437914,UNAVAILABLE,3378431388,1563616960,1563616960
60199,58.788,False,1138972065,1512823,UNAVAILABLE,UNAVAILABLE,1512823,4686201878,UNAVAILABLE,3377196967,1566261680,1566261680
65536,64.0,True,1138232350,7932477,UNAVAILABLE,UNAVAILABLE,7932477,4754763930,UNAVAILABLE,3374925748,1588965240,1588965240
66621,65.06,True,1135703784,32212010,UNAVAILABLE,UNAVAILABLE,32212010,4929763817,UNAVAILABLE,3367316039,1647582120,1647582120
73728,72.0,True,1122742914,151060199,UNAVAILABLE,UNAVAILABLE,151060199,5888109147,UNAVAILABLE,3328363498,1967209720,1967209720
81593,79.681,False,1114608315,258485626,UNAVAILABLE,UNAVAILABLE,258485626,6791904325,UNAVAILABLE,3303867236,2268241920,2268241920
90298,88.182,False,1109460918,340529599,UNAVAILABLE,UNAVAILABLE,340529599,7528469178,UNAVAILABLE,3288271890,2514616960,2514616960
99931,97.589,False,1105449447,420805785,UNAVAILABLE,UNAVAILABLE,420805785,8216904097,UNAVAILABLE,3276126048,2744268200,2744268200
110592,108.0,False,1102963431,480245050,UNAVAILABLE,UNAVAILABLE,480245050,8744036133,UNAVAILABLE,3268646116,2919597000,2919597000
